day,positive,trust,joy,love,optimism,negative,pessimism,sadness,surprise,anger,anticipation,disgust,fear,size
2020-09-10,0.2570294971493157,0.024125914555042982,0.20255910249596293,0.023710715520957656,0.10097573418170214,0.7678610560568896,0.12930656851015307,0.3318888482383706,0.05002261393449523,0.5554151040586558,0.14425499957393517,0.5726763125170361,0.052886375141414727,11
2020-09-11,0.46953831447495353,0.0490924620276524,0.33215378742251134,0.02156719606783655,0.2434052936732769,0.4934246026807361,0.029118933559705813,0.09160556333760421,0.06532976010607348,0.33196888946824604,0.3169182638327281,0.2863764191667239,0.04275110684749153,9
2020-09-15,0.6792104244232178,0.02649360336363316,0.2233726531267166,0.011114326305687428,0.3379164338111877,0.8390966653823853,0.02385634928941727,0.12918780744075775,0.0501687191426754,0.7823473811149597,0.16694065928459167,0.6689655780792236,0.026497196406126026,1
2020-09-16,0.21754057865057672,0.029834722634404898,0.1311359050284539,0.03835211048967072,0.14414933915915235,0.7876373939216137,0.080748973613871,0.2197774982612048,0.06168818560295871,0.5234484466324959,0.23797720138515746,0.5522623062133789,0.15631741897336074,14
2020-09-17,0.37666727674918044,0.065604107402679,0.269752505959736,0.01805680648734172,0.2470906712114811,0.5861421550313631,0.05423124380306237,0.1465024215479692,0.08466252063711484,0.39846046103371513,0.304111674014065,0.4053045001087917,0.12377746284214987,18
2020-09-18,0.20003170405768536,0.034326121168719095,0.1447430344891142,0.05262284020004286,0.1321074641733007,0.7811372639103369,0.06947169330140407,0.2048403573307124,0.07782042435031723,0.5881569186564196,0.21272277273237705,0.6117687293074348,0.1481999076733535,22
2020-09-19,0.3279118475038558,0.0359165342815686,0.18858870270196348,0.022616134985582906,0.1826356763485819,0.6294194324873388,0.05362202157266438,0.2010236272471957,0.06692729709902778,0.40915306424722075,0.237715718569234,0.43571031535975635,0.061163965030573315,16
2020-09-20,0.24931874856925929,0.0383498513748726,0.15087820089852008,0.013264269711306462,0.17508997259518275,0.7193363051001842,0.07402800392502776,0.24056379024225932,0.07668742471231291,0.5417145323724701,0.26819018467974204,0.5453561732832056,0.09734348920532145,26
2020-09-21,0.23150756023824215,0.024820073827868327,0.11966159869916737,0.013460923015372828,0.13181064696982503,0.7130290986970067,0.05556300678290427,0.23479667911306024,0.06769024842651561,0.5331361498683691,0.22612468304578215,0.5410569990053773,0.09876210847869515,16
2020-09-22,0.3090178958221298,0.04342996788656582,0.20170529042978003,0.017714650086734608,0.17191831431473079,0.6674434283505315,0.06717416174385858,0.2187925288858621,0.1230584703406076,0.4420246990478557,0.30172620632726216,0.45895217391459836,0.13021714602718534,23
